Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6503156,"The Reluctant Vampire (Argeneau, #15)",Lynsay Sands,"Sands, Lynsay",,"=""""","=""978006189459""",0,4.27,Avon,Mass Market Paperback,365,2011,2011,2012/04/26,2011/09/14,,,read,,,,1,,,0,,,,,
10889249,"Copper Beach (Dark Legacy, #1)",Jayne Ann Krentz,"Krentz, Jayne Ann",,"=""0399157875""","=""9780399157875""",0,3.97,Putnam Adult,Hardcover,324,2012,2012,2012/04/24,2012/04/25,,,read,,,,1,,,0,,,,,
2687149,"Real Vampires Get Lucky (Glory St. Clair, #3)",Gerry Bartlett,"Bartlett, Gerry",,"=""0425221547""","=""9780425221549""",0,4.10,Berkley Trade,Paperback,360,2008,2008,2012/04/25,2012/04/25,,,read,,,,1,,,0,,,,,
502556,"Real Vampires Live Large (Glory St. Clair, #2)",Gerry Bartlett,"Bartlett, Gerry",,"=""0425215342""","=""9780425215340""",0,4.04,Berkley Books,Paperback,297,2007,2007,2012/04/21,2012/04/21,,,read,,,,1,,,0,,,,,
263146,"Real Vampires Have Curves (Glory St. Clair, #1)",Gerry Bartlett,"Bartlett, Gerry",,"=""0425213773""","=""9780425213773""",0,3.80,Berkley Books,Paperback,330,2007,2007,2012/04/20,2012/01/06,to-read,to-read (#208),to-read,,,,1,,,0,,,,,
10966355,"Dark Prince (Carpathians, #1)",Christine Feehan,"Feehan, Christine",Abby Craden,"=""0062078364""","=""9780062078360""",2,3.99,HarperCollins ,Audio,0,2011,1999,2012/04/20,2010/07/07,,,read,"Okay, this is the second time I've listened to this. The first time was the regular version and the second is the author's cut. To be honest, I think I enjoyed the regular version better. That isn't really saying much though. <br/><br/>The whole book is entirely TOO cheesy for me. Considering that I usually read fluff (fun or totally outlandish reads), calling a book cheesy goes to a whole other level. <br/><br/>I'm afraid that I can do no other than dislike this book and series. ",,,1,,,0,,,,,
293612,"Eleventh Hour (FBI Thriller, #7)",Catherine Coulter,"Coulter, Catherine",,"=""0515135739""","=""9780515135732""",0,4.17,Jove Books,Paperback,368,2003,2002,,2010/07/07,,,read,,,,1,,,0,,,,,
11437971,"Wanted: Undead or Alive (Love at Stake, #12)",Kerrelyn Sparks,"Sparks, Kerrelyn",,"=""0061958069""","=""9780061958069""",0,4.24,Avon,Mass Market Paperback,374,2012,2012,2012/04/16,2012/04/16,,,read,,,,1,,,0,,,,,
4533874,The Shadows of Night (Kindred #1),Ellen Fisher,"Fisher, Ellen",,"=""1599980169""","=""9781599980164""",0,3.19,Samhain Publishing,ebook,0,2006,2006,2012/04/15,2012/04/15,,,read,,,,1,,,0,,,,,
11459863,Magic Bleeds - Awake (Curran POV #9),NOT A BOOK,"BOOK, NOT A",,"=""""","=""""",0,4.30,"Ilona Andrews, Inc",Kindle Edition,21,2011,2011,2012/04/15,2012/04/15,,,read,,,,1,,,0,,,,,
9394156,Curran (Curran POV #1-2),Gordon Andrews,"Andrews, Gordon",Ilona Andrews,"=""""","=""""",0,4.14,Ilona Andrews,Nook,28,2010,2010,2012/04/15,2012/04/15,,,read,,,,1,,,0,,,,,
11027748,"Magic Mourns (Kate Daniels, #3.5)",Ilona Andrews,"Andrews, Ilona",,"=""1101531851""","=""9781101531853""",0,4.19,Berkley Books,ebook,91,2011,2009,2012/04/15,2012/04/15,,,read,,,,1,,,0,,,,,
7295501,"Shades of Milk and Honey (Glamourist Histories, #1)",Mary Robinette Kowal,"Kowal, Mary Robinette",,"=""076532556X""","=""9780765325563""",0,3.49,Tor Books,Hardcover,304,2010,2010,,2012/04/11,to-read,to-read (#247),to-read,,,,0,,,0,,,,,
864821,The Hunt,Susan Sizemore,"Sizemore, Susan",,"=""0441006604""","=""9780441006601""",0,3.33,Ace,Mass Market Paperback,282,1999,1999,,2012/04/09,to-read,to-read (#246),to-read,,,,0,,,0,,,,,
6314469,Night's Edge,Maggie Shayne,"Shayne, Maggie","Charlaine Harris, Barbara Hambly","=""0373774281""","=""9780373774289""",0,3.72,Hqn,Paperback,368,2009,2004,,2010/07/07,,,read,,,,1,,,0,,,,,
5769675,"Haunting Beauty (Mists of Ireland, #1)",Erin Quinn,"Quinn, Erin",,"=""0425228177""","=""9780425228173""",0,3.74,Berkley Sensation,Paperback,354,2009,2009,2012/04/08,2011/08/31,to-read,to-read (#183),to-read,,,,1,,,0,,,,,
11225502,"Expedition to the Mountains of the Moon (Burton & Swinburne, #3)",Mark Hodder,"Hodder, Mark",,"=""1616145358""","=""9781616145354""",4,3.79,Pyr,Paperback,399,2012,2012,2012/04/07,2012/04/07,,,read,"Loved this series, but I'm still not sure about the ending. It was definitely a twist and I didn't see it coming until just before it happened, but (to me at least) it made much of the series seem wasted. I'll have to think more on it to see if I change my mind. The series was fabulous even if the ending wasn't the way I would have like to see things end up.",,,1,,,0,,,,,
9740847,"The Curious Case of the Clockwork Man (Burton & Swinburne, #2)",Mark Hodder,"Hodder, Mark",,"=""1616143592""","=""9781616143596""",5,3.94,Pyr,Paperback,355,2011,2011,2012/04/03,2012/04/03,,,read,,,,1,,,0,,,,,
7832325,"Afterlight (Dark Ink Chronicles, #1)",Elle Jasper,"Jasper, Elle",,"=""0451231678""","=""9780451231673""",0,3.72,Signet,Paperback,324,2010,2010,2012/04/02,2012/04/03,,,read,,,,1,,,0,,,,,
1858349,"Enchanting the Lady (Relics of Merlin, #1)",Kathryne Kennedy,"Kennedy, Kathryne",,"=""0505527502""","=""9780505527509""",0,3.62,Love Spell,Paperback,292,2008,2008,,2012/04/01,to-read,to-read (#244),to-read,,,,0,,,0,,,,,
11032366,The Geek Job (Bite-Sized Jobs #1),Eve Langlais,"Langlais, Eve",,"=""0986915408""","=""9780986915406""",0,3.85,Eve Langlais,ebook,275,2011,2011,,2012/04/01,to-read,to-read (#243),to-read,,,,0,,,0,,,,,
8539318,"Demon Hunting in Dixie (Demon Hunting, #1)",Lexi George,"George, Lexi",,"=""0758263090""","=""9780758263094""",0,3.62,Kensington Publishing Corp,Paperback,374,2011,2011,,2012/04/01,to-read,to-read (#242),to-read,,,,0,,,0,,,,,
9435887,"A Touch of Greek (Out of Olympus, #1)",Tina Folsom,"Folsom, Tina",,"=""""","=""""",4,3.73,,Kindle Edition,228,2010,2010,2012/03/31,2012/03/31,,,read,,,,1,,,0,,,,,
12404627,"A Scent of Greek (Out of Olympus, #2)",Tina Folsom,"Folsom, Tina",,"=""""","=""""",4,4.04,,Kindle Edition,223,2011,2011,2012/04/01,2012/04/01,,,read,,,,1,,,0,,,,,
7293120,"The Strange Affair of Spring Heeled Jack (Burton & Swinburne, #1)",Mark Hodder,"Hodder, Mark",,"=""1906727201""","=""9781906727208""",4,3.70,Snowbooks,Paperback,511,2010,2010,2012/03/29,2012/02/20,,,read,,,,1,,,0,,,,,
11338036,No Rest for the Wicked,Rebecca Knight,"Knight, Rebecca",,"=""""","=""""",0,2.76,,Kindle Edition,20,2011,2011,2012/03/28,2012/03/29,,,read,,,,1,,,0,,,,,
10622681,Lot's Return to Sodom (Liv Bergen Mystery #2),Sandra Brannan,"Brannan, Sandra",,"=""1608321193""","=""9781608321193""",5,3.92,Greenleaf Book Group Press,Paperback,288,2011,2011,2012/03/28,2012/03/28,,,read,,,,1,,,0,,,,,
2181371,The Edge of Reason (Edge #1),Melinda M. Snodgrass,"Snodgrass, Melinda M.",,"=""0765315165""","=""9780765315168""",0,3.33,Tor Books,Hardcover,384,2008,2008,,2012/03/26,to-read,to-read (#241),to-read,,,,0,,,0,,,,,
7303068,Hard Magic (Paranormal Scene Investigations #1),Laura Anne Gilman,"Gilman, Laura Anne",,"=""0373803133""","=""9780373803132""",0,3.60,Luna,Trade Paperback,329,2010,2010,,2012/03/26,to-read,to-read (#240),to-read,,,,0,,,0,,,,,
970533,The Morgue the Merrier,Karen Kelley,"Kelley, Karen","Dianne Castell, Rosemary Laurey","=""1420100424""","=""9781420100426""",0,3.42,Zebra,Paperback,304,2007,2007,,2012/03/26,to-read,to-read (#239),to-read,,,,0,,,0,,,,,
6041009,Faeries Gone Wild,MaryJanice Davidson,"Davidson, MaryJanice","Michele Hauf, Lois Greiman, Leandra Logan","=""031294568X""","=""9780312945688""",0,3.45,St. Martin's Paperbacks,Paperback,389,2009,2009,,2012/03/26,to-read,to-read (#238),to-read,,,,0,,,0,,,,,
2770316,"Tempt Me with Darkness (Doomsday Brethren, #1)",Shayla Black,"Black, Shayla",,"=""1416558586""","=""9781416558583""",0,3.93,Pocket Books,Paperback,384,2008,2008,,2012/03/26,to-read,to-read (#236),to-read,,,,0,,,0,,,,,
8277481,"Animal Magnetism (Animal Magnetism, #1)",Jill Shalvis,"Shalvis, Jill",,"=""0425239810""","=""9780425239810""",0,3.98,Berkley Books,Mass Market Paperback,295,2011,2011,2012/03/24,2012/03/26,,,read,,,,1,,,0,,,,,
33728,Fast Women,Jennifer Crusie,"Crusie, Jennifer","Sandra Burr, Inez Meyer","=""0312932790""","=""9780312932794""",5,3.80,St. Martin's Paperbacks,Paperback,448,2004,2001,2012/03/23,2012/03/23,,,read,,,,1,,,0,,,,,
7736327,"Moon Dance (Vampire for Hire, #1)",J.R. Rain,"Rain, J.R.",,"=""0557175216""","=""9780557175215""",3,3.77,lulu.com,Paperback,250,2013,2009,2012/03/22,2012/03/22,,,read,,,,1,,,0,,,,,
8432181,In the Belly of Jonah (Liv Bergen Mystery #1),Sandra Brannan,"Brannan, Sandra",,"=""1608320502""","=""9781608320509""",0,3.81,Greenleaf Book Group,Paperback,252,2010,2010,2012/03/21,2012/03/21,,,read,,,,1,,,0,,,,,
6329322,"Nice Girls Don't Live Forever (Jane Jameson, #3)",Molly Harper,"Harper, Molly",,"=""1416589449""","=""9781416589440""",4,4.18,Pocket Star,Mass Market Paperback,324,2009,2009,2012/03/19,2012/03/19,,,read,,,,1,,,0,,,,,
5999242,"Nice Girls Don't Date Dead Men (Jane Jameson, #2)",Molly Harper,"Harper, Molly",,"=""1416589430""","=""9781416589433""",4,4.09,Pocket Star,Mass Market Paperback,376,2009,2009,2012/03/17,2012/03/17,,,read,,,,1,,,0,,,,,
13037619,"Driving Mr. Dead (Half-Moon Hollow, #1.5)",Molly Harper,"Harper, Molly",,"=""""","=""""",4,4.10,Pocket Star,Kindle Edition,180,2012,2011,,2011/12/30,,,read,,,,1,,,0,,,,,
9695235,"The Demon Girl (Rae Wilder, #1)",Penelope Fletcher,"Fletcher, Penelope",,"=""""","=""2940011114793""",3,3.57,"Fletcher, Penelope",Nook,532,2010,2010,2012/03/20,2012/03/20,,,read,,,,1,,,0,,,,,
1306668,"Vanquished (The Roxbury Trilogy, #1)",Hope C. Tarr,"Tarr, Hope C.",,"=""1932815759""","=""9781932815757""",0,3.37,Medallion Press,Mass Market Paperback,368,2006,2006,2012/03/18,2012/03/18,,,read,,,,1,,,0,,,,,
5618698,"Nice Girls Don't Have Fangs (Jane Jameson, #1)",Molly Harper,"Harper, Molly",,"=""1416589422""","=""9781416589426""",5,3.90,Pocket Star,Mass Market Paperback,355,2009,2009,2012/03/15,2012/01/06,,,read,,,,1,,,0,,,,,
12835104,"Bloodstone (A Stacy Justice Mystery, #2)",Barbra Annino,"Annino, Barbra",,"=""""","=""""",0,4.04,,Kindle Edition,332,2011,2011,2012/03/14,2012/03/14,,,read,,,,1,,,0,,,,,
